Movie,Rating
The Iron Giant,8.1
Rush,8.1
The Wizard of Oz,8.1
Stand by Me,8.1
Babam ve Oglum,8.2
La battaglia di Algeri,8.1
La passion de Jeanne d&apos;Arc,8.1
Ah-ga-ssi,8.1
Network,8.1
96,8.5
Yedinci Kogustaki Mucize,8.2
